GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS_CORREGIMIENTO_VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION_DE_LA_VICTIMA,CLASE_DE_SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE_DE_VEHICULO,MARCA,MATRICULA,TIPO_DE_SERVICIO,EMPRESA, , .1
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T16:30:00.000,TARDE,7_DOMINGO,ZAMORANO,CARRERA 38 CALLE 59-30,URBANA,TECNICO,3.5497,-76.30943,POR ESTABLECER,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,PALMIRA,PUBLICO,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T16:30:00.000,TARDE,7_DOMINGO,ZAMORANO,CARRERA 38 CALLE 59-30,URBANA,TECNICO,3.5497,-76.30943,POR ESTABLECER,CICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,BICICLETA,NO APLICA,NO APLICA,PARTICULAR,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T07:00:00.000,MAÑANA,7_DOMINGO,BIZERTA,CALLE 37 CARRERA 22,URBANA,TECNICO,3.53297,-76.29303,INVDIR CARRIL DE SENTIDO CONTRARIO,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,KIMCO,FLORIDA,PARTICULAR,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T07:00:00.000,MAÑANA,7_DOMINGO,BIZERTA,CALLE 37 CARRERA 22,URBANA,TECNICO,3.53297,-76.29303,INVDIR CARRIL DE SENTIDO CONTRARIO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,YAMAHA,YUMBO,PARTICULAR,NO APLICA,,
DAÑOS,11/08/2020 12:00:00 AM,2020,1899-12-31T10:00:00.000,MAÑANA,7_DOMINGO,POBLADO,CALLE 44 CARRERA 1 1,URBANA,TECNICO,3.53982,-76.28379,PERDIDA DEL CONTROL,NO APLICA,VOLCAMIENTO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,BAJAJ,YUMBO,PARTICULAR,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T11:00:00.000,MAÑANA,7_DOMINGO,SAN PEDRO,CARRERA 9 B CALLE 35,URBANA,TECNICO,3.53202,-76.28211,PONER EN MARCHA VEHICULO SIN PRECAUCION,MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,MOTO,HONDA,TUUA,PARTICULAR,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T11:00:00.000,MAÑANA,7_DOMINGO,SAN PEDRO,CARRERA 9 B CALLE 35,URBANA,TECNICO,3.53202,-76.28211,PONER EN MARCHA VEHICULO SIN PRECAUCION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMPERO,RENAULT,BOGOTA,PARTICULAR,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T08:40:00.000,MAÑANA,7_DOMINGO,SANCAYETANO,CALLE 38 CARRERA 24,URBANA,TECNICO,3.53431,-76.29446,DESOBEDECER SEÑALES,MOTOCICLISTA,CHOQUE,1,NO APLICA,FRACTURAS,NO APLICA,MOTO,AKT,PALMIRA,PARTICULAR,NO APLICA,,
HERIDOS,11/08/2020 12:00:00 AM,2020,1899-12-31T08:40:00.000,MAÑANA,7_DOMINGO,SANCAYETANO,CALLE 38 CARRERA 24,URBANA,TECNICO,3.53431,-76.29446,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,RENAULT,PALMIRA,OFICIAL,NO APLICA,,
HERIDOS,11/11/2020 12:00:00 AM,2020,1899-12-31T22:05:00.000,NOCHE,3_MIERCOLES,VERSALLE S,CARRERA 28 CALLE 42-43,URBANA,TECNICO,3.53865,-76.29721,NO MANTENER DISTANCIA,CONDUCTOR,CHOQUE,1,NO APLICA,PALMIRA,NO APLICA,AUTOMOVIL,CHEVROLET,TULUA,PARTICULAR,NO APLICA,,
